,config_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_avg_precision,test_f1_std,train_f1,train_accuracy,overfit_gap_%
71,72,0.8982202807617387,0.36973461661936363,0.13265152771799923,8,15,800,1.2044928316946288,3.965642689815282,65.63106079251784,0.7067582651449795,0.9554728656481195,0.7240557596162024,0.8355937081538304,0.7758016560562645,0.9295915606121887,0.8599600232508212,0.007512266111860873,0.9593598634325964,0.9921873219229633,23.660455729037455
72,73,0.7641850606486046,0.218167915803278,0.1624007573150795,7,13,800,0.968059164832751,0.2170039164908638,32.81553039625892,0.9964823980596502,0.9551097425042515,0.720931284294487,0.8373148164979186,0.7747503942099315,0.9300199761874467,0.857705689584478,0.004444671832923025,0.937904583761411,0.9877902098245389,21.058935983873805
73,74,0.7853248119404674,0.28404625616893364,0.13597139576693743,7,7,700,2.5411824809516985,0.11797482322764563,98.44659118877676,0.9148815601438225,0.9548827715463256,0.7183899523944123,0.840022661310357,0.7744345590003131,0.9285140300360822,0.8604698321776467,0.00619355403312088,0.9513309942320115,0.9905646433047218,22.84201204296035
74,75,0.7359512552822616,0.24515624470491415,0.17088915035525162,9,8,300,1.7637069746844436,4.6727012281093,65.63106079251784,0.7863862548685545,0.9548147160559399,0.7193975675078081,0.836086924908658,0.7733235205006517,0.9289047591213289,0.8596846912332261,0.007445005412095339,0.948664104301946,0.9900199703403615,22.673639059598028
75,76,0.5616162878581624,0.34926531260456856,0.08906761985171527,8,8,800,2.66965117942046,4.089281528275148,65.63106079251784,0.7838636589655272,0.9544742763586518,0.7156712083801795,0.8402707844812438,0.7729229559984286,0.9300489731404395,0.8615775816407876,0.008349092158563663,0.9422840018734002,0.9887036769541873,21.911762946178538
76,77,0.7249718371344298,0.34645445551238385,0.14930047184599193,9,18,800,2.867529441525491,1.1835765292243488,98.44659118877676,0.7028226297236188,0.954406146183894,0.7152342409377291,0.8407609716491254,0.7727988511758423,0.9291361392799582,0.8600706158284896,0.007249883447109434,0.9573525316173337,0.9917844892283123,23.881205330557375
77,78,0.9448260165087832,0.006154851508037795,0.08030994358810849,8,4,700,2.0652150554764104,1.8727644351006068,131.2621215850357,0.5828141735141327,0.9541565432858518,0.7141434245702275,0.8387920430928448,0.7713899671297981,0.9281319206180054,0.859560120386228,0.007244968095727916,0.9459582326914344,0.9894639480877864,22.630352091714776
78,79,0.6988237897960181,0.38115451601096934,0.09643458900644154,9,17,700,2.9280414698376407,0.6277510738132669,32.81553039625892,0.538192472495728,0.9540657451164533,0.7131008158721724,0.8400235701864407,0.7712956338174551,0.9283580551983167,0.8572458326401305,0.005294899795311881,0.9359082403793131,0.9873703574628234,21.342349074002055
79,80,0.8796462534592369,0.483880732634781,0.09355069243650262,9,8,500,0.9787617541234404,1.4969168685267413,65.63106079251784,0.5102604073646626,0.9541111635160764,0.7140455367159727,0.8383000381727956,0.7711161663436598,0.9300832511936573,0.8599580657109251,0.0056918761105665535,0.9411639959476126,0.9884710549331028,22.052167627382936
80,81,0.8496576875631019,0.41973045475038345,0.19654175171951926,8,9,500,1.8847143313898442,2.663379433807775,98.44659118877676,0.936376919783064,0.9540884594669112,0.7136798503341175,0.8385469495089041,0.7710607952663814,0.9302320759411412,0.8617003231489878,0.007391596162413399,0.9507178142190453,0.9904398257601867,23.299981020380777
81,82,0.8311568693653599,0.3759125729783406,0.16426978458119787,6,16,900,2.5755193636546636,0.6584345171810352,32.81553039625892,0.7989199934228425,0.9538388488428996,0.7115209712186354,0.840268360811687,0.7704947816432749,0.9278861592184272,0.8558025829976751,0.0059049327803497925,0.9432117592857017,0.9888965797660587,22.416372149083763
82,83,0.8526927970561018,0.22318432325629278,0.1742010737580921,8,12,500,0.33575885819318363,1.348748057584948,65.63106079251784,0.5614854042648134,0.9539069300865168,0.7128908226131402,0.8378077302940519,0.7702232671521326,0.9265368457985689,0.855708484171247,0.006689229943513748,0.9504674693610531,0.9903887637008839,23.40155249728635
