,colsample_bytree,learning_rate,min_child_samples,min_child_weight,min_data_in_leaf,n_estimators,num_leaves,path_smooth,reg_alpha,reg_lambda,subsample,subsample_freq,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
826,0.6194191703928655,0.04641592716953248,7,0.02261378077613594,7,2000,11,1.6243991616811435,2.030716503514082,4.730564250215938,0.752988880964591,1,542427.4587773854,37568.24140019329,1227132.38966116,211878.56350885137,328158.7914009461,6059.325390258079,708269.0358963574,19860.708617228254,65.29420298682315
853,0.7443630088633586,0.020775718842034663,13,0.06354692823039836,19,2000,18,1.6658063710262783,1.4416828005975704,4.247558574273267,0.7133913903625171,1,542665.2155992675,41378.46106500433,1217685.5735539158,211159.61927868487,326259.924388698,5771.762120315224,716147.6056300405,21874.16638332538,66.3291060390088
534,0.5405519369879455,0.04021889221839928,19,0.27091074486310973,16,1500,14,0.749382995524551,1.8290809168757707,3.468776908467867,0.8879275458535139,1,543325.1589114787,37480.09730928385,1228055.0539391194,216675.1881440062,332326.1854543723,7587.6503914910045,719864.922586342,20387.20449561898,63.49152811073808
210,0.77906825100803,0.04669199537515716,7,0.4709328301065169,14,1000,18,0.8383119948885989,1.819199576577302,2.8469312544495287,0.6923624003012279,1,543368.0512807778,38732.45138392237,1229679.807093543,206013.38930432594,322084.23404337856,6493.896010022291,705980.0879672065,21555.702431574533,68.70370972818141
406,0.8651569778946302,0.02958734409062727,18,0.19668572409751597,17,2000,15,1.6722584716132731,1.4651509155444844,1.81698703564867,0.506702521796953,1,543419.879138075,38753.05344601221,1221554.050129931,204153.26941384553,316724.0748170618,6050.331417041639,686403.0950232011,18377.546621805755,71.57517294886775
340,0.6570922973085664,0.029008445918239277,7,0.18095613677049355,13,2000,14,1.826564820534457,1.7067349702542645,2.8473739251004413,0.6658064259267169,1,545643.1402787648,39553.907166920064,1215976.5371063615,210754.09560600732,335537.7478888732,6778.268773436972,726880.378078201,21318.466317674785,62.61751284671446
372,0.7475966258794353,0.04721634508540655,9,0.04057309361315584,8,1500,11,1.1530904692636035,1.885865560616617,3.6772344366475167,0.856757241302625,1,545810.9891283255,37477.2433292692,1245437.3670262068,209257.87583813004,336620.38107919757,7357.826498370725,728598.9964746449,16778.669914873597,62.144367901452505
882,0.8057022696096565,0.04967824286873755,19,0.3988798829852347,11,700,15,0.906011908947934,0.6020973400092606,3.4204064889486028,0.6582979319389417,1,546028.035183213,38553.16640522346,1216647.140240767,210123.2953456163,333036.10863894166,6171.29128970744,702186.7796589766,16878.696240787944,63.95460462672675
727,0.6323967790413612,0.042360192057232494,11,0.22993716916948148,17,1500,14,1.1478777967187432,1.8513471609311951,3.75929477159055,0.7409764439445771,1,546039.7625512757,43503.29496791205,1220862.369469466,213127.7394129001,331164.4757908151,7051.308072238545,718278.0922596661,23922.17457941796,64.88476345397316
910,0.5808332660031694,0.04777418014764049,13,0.20000452097957738,8,700,18,1.791594404719579,0.7445167223963158,3.7104447283983766,0.5691280205825809,1,546950.4427297363,39017.14460885607,1223445.077948937,210590.9475162539,333620.1517526522,8361.149000523996,712176.6174097974,23827.009259546212,63.94406628507512
